,count,mean,std,min,5%,25%,50%,75%,95%,max
n_genes_by_counts,4105.0,2580.5736906211937,1258.6297646618855,586.0,1225.0,1664.0,2250.0,3157.0,5105.599999999999,9467.0
total_counts,4105.0,2999.52978515625,542.417236328125,815.857666015625,2197.9294921875,2605.67529296875,2962.642578125,3369.313232421875,3955.7693847656246,4604.93505859375
pct_counts_mt,4105.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pct_counts_ribo,4105.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mean_pct_counts_mt,,0.0,,,,,,,,
mean_pct_counts_ribo,,0.0,,,,,,,,
