source,target,source_id_lab,target_id_lab,weight,weight_recs,weight_tfidf
3,33,FMA:14928 Descending part of Duodenum,ASCTB-TEMP:neutrophil,1,2,0.00410996
3,34,FMA:14928 Descending part of Duodenum,ASCTB-TEMP:nk,1,2,0.001799022
3,35,FMA:14928 Descending part of Duodenum,ASCTB-TEMP:paneth,1,2,0.019809786
3,36,FMA:14928 Descending part of Duodenum,ASCTB-TEMP:plasma,1,2,0.046274783
3,37,FMA:14928 Descending part of Duodenum,ASCTB-TEMP:smooth-muscle,1,2,0.070923257
3,38,FMA:14928 Descending part of Duodenum,ASCTB-TEMP:stroma,1,2,0.057308739
3,39,FMA:14928 Descending part of Duodenum,ASCTB-TEMP:ta,1,2,0.012873439
4,15,FMA:14929 Horizontal part of Duodenum,ASCTB-TEMP:b,1,2,0.044458305
4,16,FMA:14929 Horizontal part of Duodenum,ASCTB-TEMP:cd4-t-cell,1,2,0.042558061
4,17,FMA:14929 Horizontal part of Duodenum,ASCTB-TEMP:cd57-enterocyte,1,2,0.000288077
4,18,FMA:14929 Horizontal part of Duodenum,ASCTB-TEMP:cd66-enterocyte,1,2,0.005506442
4,19,FMA:14929 Horizontal part of Duodenum,ASCTB-TEMP:cd7-immune,1,2,0.003336111
4,20,FMA:14929 Horizontal part of Duodenum,ASCTB-TEMP:cd8-t,1,4,0.066817755
4,21,FMA:14929 Horizontal part of Duodenum,ASCTB-TEMP:cycling-ta,1,2,0.022711017
4,22,FMA:14929 Horizontal part of Duodenum,ASCTB-TEMP:dc,1,2,0.011661586
4,23,FMA:14929 Horizontal part of Duodenum,ASCTB-TEMP:endothelial,1,2,0.066221725
4,24,FMA:14929 Horizontal part of Duodenum,ASCTB-TEMP:enterocyte,1,2,0.235225133
4,25,FMA:14929 Horizontal part of Duodenum,ASCTB-TEMP:goblet,1,2,0.03418926
4,26,FMA:14929 Horizontal part of Duodenum,ASCTB-TEMP:icc,1,2,0.006275395
4,27,FMA:14929 Horizontal part of Duodenum,ASCTB-TEMP:lymphatic,1,4,0.022591775
4,28,FMA:14929 Horizontal part of Duodenum,ASCTB-TEMP:m1-macrophage,1,2,0.004742972
4,29,FMA:14929 Horizontal part of Duodenum,ASCTB-TEMP:m2-macrophage,1,2,0.039905657
4,30,FMA:14929 Horizontal part of Duodenum,ASCTB-TEMP:muc1-enterocyte,1,2,0.003716629
4,31,FMA:14929 Horizontal part of Duodenum,ASCTB-TEMP:nerve,1,2,0.029525643
4,32,FMA:14929 Horizontal part of Duodenum,ASCTB-TEMP:neuroendocrine,1,2,0.004267515
4,33,FMA:14929 Horizontal part of Duodenum,ASCTB-TEMP:neutrophil,1,2,0.00872811
4,34,FMA:14929 Horizontal part of Duodenum,ASCTB-TEMP:nk,1,2,0.001375998
4,35,FMA:14929 Horizontal part of Duodenum,ASCTB-TEMP:paneth,1,2,0.019826496
4,36,FMA:14929 Horizontal part of Duodenum,ASCTB-TEMP:plasma,1,2,0.02910056
4,37,FMA:14929 Horizontal part of Duodenum,ASCTB-TEMP:smooth-muscle,1,2,0.118388703
4,38,FMA:14929 Horizontal part of Duodenum,ASCTB-TEMP:stroma,1,2,0.065228192
4,39,FMA:14929 Horizontal part of Duodenum,ASCTB-TEMP:ta,1,2,0.013146115
5,15,FMA:14930 Ascending part of Duodenum,ASCTB-TEMP:b,1,2,0.044458305
5,16,FMA:14930 Ascending part of Duodenum,ASCTB-TEMP:cd4-t-cell,1,2,0.042558061
5,17,FMA:14930 Ascending part of Duodenum,ASCTB-TEMP:cd57-enterocyte,1,2,0.000288077
5,18,FMA:14930 Ascending part of Duodenum,ASCTB-TEMP:cd66-enterocyte,1,2,0.005506442
5,19,FMA:14930 Ascending part of Duodenum,ASCTB-TEMP:cd7-immune,1,2,0.003336111
5,20,FMA:14930 Ascending part of Duodenum,ASCTB-TEMP:cd8-t,1,4,0.066817755
5,21,FMA:14930 Ascending part of Duodenum,ASCTB-TEMP:cycling-ta,1,2,0.022711017
5,22,FMA:14930 Ascending part of Duodenum,ASCTB-TEMP:dc,1,2,0.011661586
5,23,FMA:14930 Ascending part of Duodenum,ASCTB-TEMP:endothelial,1,2,0.066221725
5,24,FMA:14930 Ascending part of Duodenum,ASCTB-TEMP:enterocyte,1,2,0.235225133
5,25,FMA:14930 Ascending part of Duodenum,ASCTB-TEMP:goblet,1,2,0.03418926
5,26,FMA:14930 Ascending part of Duodenum,ASCTB-TEMP:icc,1,2,0.006275395
5,27,FMA:14930 Ascending part of Duodenum,ASCTB-TEMP:lymphatic,1,4,0.022591775
5,28,FMA:14930 Ascending part of Duodenum,ASCTB-TEMP:m1-macrophage,1,2,0.004742972
5,29,FMA:14930 Ascending part of Duodenum,ASCTB-TEMP:m2-macrophage,1,2,0.039905657
5,30,FMA:14930 Ascending part of Duodenum,ASCTB-TEMP:muc1-enterocyte,1,2,0.003716629
5,31,FMA:14930 Ascending part of Duodenum,ASCTB-TEMP:nerve,1,2,0.029525643
5,32,FMA:14930 Ascending part of Duodenum,ASCTB-TEMP:neuroendocrine,1,2,0.004267515
5,33,FMA:14930 Ascending part of Duodenum,ASCTB-TEMP:neutrophil,1,2,0.00872811
5,34,FMA:14930 Ascending part of Duodenum,ASCTB-TEMP:nk,1,2,0.001375998
5,35,FMA:14930 Ascending part of Duodenum,ASCTB-TEMP:paneth,1,2,0.019826496
5,36,FMA:14930 Ascending part of Duodenum,ASCTB-TEMP:plasma,1,2,0.02910056
5,37,FMA:14930 Ascending part of Duodenum,ASCTB-TEMP:smooth-muscle,1,2,0.118388703
5,38,FMA:14930 Ascending part of Duodenum,ASCTB-TEMP:stroma,1,2,0.065228192
5,39,FMA:14930 Ascending part of Duodenum,ASCTB-TEMP:ta,1,2,0.013146115
6,15,FMA:14966 Distal part of Ileum,ASCTB-TEMP:b,1,2,0.016428655
6,16,FMA:14966 Distal part of Ileum,ASCTB-TEMP:cd4-t-cell,1,2,0.038627471
6,17,FMA:14966 Distal part of Ileum,ASCTB-TEMP:cd57-enterocyte,1,2,0.000104742
6,18,FMA:14966 Distal part of Ileum,ASCTB-TEMP:cd66-enterocyte,1,2,0.005336021
6,19,FMA:14966 Distal part of Ileum,ASCTB-TEMP:cd7-immune,1,2,0.001479857
6,20,FMA:14966 Distal part of Ileum,ASCTB-TEMP:cd8-t,1,4,0.065666274
6,21,FMA:14966 Distal part of Ileum,ASCTB-TEMP:cycling-ta,1,2,0.022638184
6,22,FMA:14966 Distal part of Ileum,ASCTB-TEMP:dc,1,2,0.009461171
6,23,FMA:14966 Distal part of Ileum,ASCTB-TEMP:endothelial,1,2,0.062073605
6,24,FMA:14966 Distal part of Ileum,ASCTB-TEMP:enterocyte,1,2,0.177006251
6,25,FMA:14966 Distal part of Ileum,ASCTB-TEMP:goblet,1,2,0.051379214
6,26,FMA:14966 Distal part of Ileum,ASCTB-TEMP:icc,1,2,0.006960412
6,27,FMA:14966 Distal part of Ileum,ASCTB-TEMP:lymphatic,1,4,0.029538527
6,28,FMA:14966 Distal part of Ileum,ASCTB-TEMP:m1-macrophage,1,2,0.004925147
6,29,FMA:14966 Distal part of Ileum,ASCTB-TEMP:m2-macrophage,1,2,0.044165528
6,30,FMA:14966 Distal part of Ileum,ASCTB-TEMP:muc1-enterocyte,1,2,0.001684779
6,31,FMA:14966 Distal part of Ileum,ASCTB-TEMP:nerve,1,2,0.025560253
6,32,FMA:14966 Distal part of Ileum,ASCTB-TEMP:neuroendocrine,1,2,0.004799513
6,33,FMA:14966 Distal part of Ileum,ASCTB-TEMP:neutrophil,1,2,0.003570878
6,34,FMA:14966 Distal part of Ileum,ASCTB-TEMP:nk,1,2,0.001565063
