,count,mean,std,min,5%,25%,50%,75%,95%,max
n_genes_by_counts,2138.0,1596.444340505145,898.5674008280331,302.0,579.85,982.0,1351.5,1917.0,3567.5999999999995,5240.0
total_counts,2138.0,1031.7550048828125,138.2480926513672,542.4882202148438,788.0350189208984,950.6888122558594,1028.5047607421875,1121.5664367675781,1258.1754943847657,1422.02734375
pct_counts_mt,2138.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pct_counts_ribo,2138.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mean_pct_counts_mt,,0.0,,,,,,,,
mean_pct_counts_ribo,,0.0,,,,,,,,
