,count,mean,std,min,5%,25%,50%,75%,95%,max
n_genes_by_counts,6567.0,2575.638343231308,1036.804843248148,519.0,1451.0,1810.5,2299.0,3061.5,4681.699999999998,8835.0
total_counts,6567.0,2952.11181640625,680.088623046875,723.8856201171875,1619.25908203125,2635.1597900390625,2994.780517578125,3399.892822265625,3984.3612792968747,4723.6474609375
pct_counts_mt,6567.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pct_counts_ribo,6567.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mean_pct_counts_mt,,0.0,,,,,,,,
mean_pct_counts_ribo,,0.0,,,,,,,,
