,count,mean,std,min,5%,25%,50%,75%,95%,max
n_genes_by_counts,5990.0,712.3711185308848,356.7676294544293,304.0,360.0,445.0,606.0,870.0,1453.1000000000004,3828.0
total_counts,5990.0,1796.3946533203125,512.5076904296875,1039.87451171875,1188.7176818847656,1376.5849914550781,1683.1160278320312,2107.1767578125,2822.218884277344,4182.65673828125
pct_counts_mt,5990.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pct_counts_ribo,5990.0,0.0017137349350377917,0.01592387817800045,0.0,0.0,0.0,0.0,0.0,0.0,0.26478996872901917
mean_pct_counts_mt,,0.0,,,,,,,,
mean_pct_counts_ribo,,0.0017137349350377917,,,,,,,,
