,count,mean,std,min,5%,25%,50%,75%,95%,max
n_genes_by_counts,2413.0,1861.1023622047244,915.8276516957238,326.0,800.2,1209.0,1568.0,2353.0,3757.0000000000005,5219.0
total_counts,2413.0,1049.5296630859375,121.099853515625,584.06787109375,861.75,968.9617309570312,1046.663818359375,1128.1077880859375,1255.6458740234375,1418.6146240234375
pct_counts_mt,2413.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pct_counts_ribo,2413.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mean_pct_counts_mt,,0.0,,,,,,,,
mean_pct_counts_ribo,,0.0,,,,,,,,
