"organ_label","uberon_id","as","cell_type","datasets","cell_count","mean_cell_count","total_cell_count","percentage","tool"
"Small Intestine","UBERON:0002115","mid jejunum","B",8,619,77.375,497211,0.00124,"Spatial"
"Small Intestine","UBERON:0002115","mid jejunum","CD4+ T cell",8,24584,3073,497211,0.04944,"Spatial"
"Small Intestine","UBERON:0002115","mid jejunum","CD57+ Enterocyte",8,222,27.75,497211,0.00045,"Spatial"
"Small Intestine","UBERON:0002115","mid jejunum","CD66+ Enterocyte",8,4709,588.625,497211,0.00947,"Spatial"
"Small Intestine","UBERON:0002115","mid jejunum","CD7+ Immune",8,1954,244.25,497211,0.00393,"Spatial"
"Small Intestine","UBERON:0002115","mid jejunum","CD8+ T",8,78712,9839,497211,0.15831,"Spatial"
"Small Intestine","UBERON:0002115","mid jejunum","Cycling TA",8,14313,1789.125,497211,0.02879,"Spatial"
"Small Intestine","UBERON:0002115","mid jejunum","DC",8,3417,427.125,497211,0.00687,"Spatial"
"Small Intestine","UBERON:0002115","mid jejunum","Endothelial",8,34419,4302.375,497211,0.06922,"Spatial"
"Small Intestine","UBERON:0002115","mid jejunum","Enterocyte",8,131319,16414.875,497211,0.26411,"Spatial"
"Small Intestine","UBERON:0002115","mid jejunum","Goblet",8,27482,3435.25,497211,0.05527,"Spatial"
"Small Intestine","UBERON:0002115","mid jejunum","ICC",8,4647,580.875,497211,0.00935,"Spatial"
"Small Intestine","UBERON:0002115","mid jejunum","Lymphatic",8,11496,1437,497211,0.02312,"Spatial"
"Small Intestine","UBERON:0002115","mid jejunum","M1 Macrophage",8,3416,427,497211,0.00687,"Spatial"
"Small Intestine","UBERON:0002115","mid jejunum","M2 Macrophage",8,17861,2232.625,497211,0.03592,"Spatial"
"Small Intestine","UBERON:0002115","mid jejunum","MUC1+ Enterocyte",8,2398,299.75,497211,0.00482,"Spatial"
"Small Intestine","UBERON:0002115","mid jejunum","Nerve",8,10266,1283.25,497211,0.02065,"Spatial"
"Small Intestine","UBERON:0002115","mid jejunum","Neuroendocrine",8,3726,465.75,497211,0.00749,"Spatial"
"Small Intestine","UBERON:0002115","mid jejunum","Neutrophil",8,2126,265.75,497211,0.00428,"Spatial"
"Small Intestine","UBERON:0002115","mid jejunum","NK",8,1560,195,497211,0.00314,"Spatial"
"Small Intestine","UBERON:0002115","mid jejunum","Paneth",8,6980,872.5,497211,0.01404,"Spatial"
"Small Intestine","UBERON:0002115","mid jejunum","Plasma",8,24213,3026.625,497211,0.0487,"Spatial"
"Small Intestine","UBERON:0002115","mid jejunum","Smooth muscle",8,43798,5474.75,497211,0.08809,"Spatial"
"Small Intestine","UBERON:0002115","mid jejunum","Stroma",8,31915,3989.375,497211,0.06419,"Spatial"
"Small Intestine","UBERON:0002115","mid jejunum","TA",8,11059,1382.375,497211,0.02224,"Spatial"
"Small Intestine","UBERON:0002115","proximal jejunum","B",8,7903,987.875,347477,0.02274,"Spatial"
"Small Intestine","UBERON:0002115","proximal jejunum","CD4+ T cell",8,15015,1876.875,347477,0.04321,"Spatial"
"Small Intestine","UBERON:0002115","proximal jejunum","CD57+ Enterocyte",8,100,12.5,347477,0.00029,"Spatial"
"Small Intestine","UBERON:0002115","proximal jejunum","CD66+ Enterocyte",8,2441,305.125,347477,0.00702,"Spatial"
"Small Intestine","UBERON:0002115","proximal jejunum","CD7+ Immune",8,1800,225,347477,0.00518,"Spatial"
"Small Intestine","UBERON:0002115","proximal jejunum","CD8+ T",8,37125,4640.625,347477,0.10684,"Spatial"
"Small Intestine","UBERON:0002115","proximal jejunum","Cycling TA",8,6434,804.25,347477,0.01852,"Spatial"
"Small Intestine","UBERON:0002115","proximal jejunum","DC",8,4120,515,347477,0.01186,"Spatial"
"Small Intestine","UBERON:0002115","proximal jejunum","Endothelial",8,27517,3439.625,347477,0.07919,"Spatial"
"Small Intestine","UBERON:0002115","proximal jejunum","Enterocyte",8,74734,9341.75,347477,0.21508,"Spatial"
"Small Intestine","UBERON:0002115","proximal jejunum","Goblet",8,15556,1944.5,347477,0.04477,"Spatial"
"Small Intestine","UBERON:0002115","proximal jejunum","ICC",8,5361,670.125,347477,0.01543,"Spatial"
"Small Intestine","UBERON:0002115","proximal jejunum","Lymphatic",8,8262,1032.75,347477,0.02378,"Spatial"
"Small Intestine","UBERON:0002115","proximal jejunum","M1 Macrophage",8,2592,324,347477,0.00746,"Spatial"
"Small Intestine","UBERON:0002115","proximal jejunum","M2 Macrophage",8,14530,1816.25,347477,0.04182,"Spatial"
"Small Intestine","UBERON:0002115","proximal jejunum","MUC1+ Enterocyte",8,546,68.25,347477,0.00157,"Spatial"
"Small Intestine","UBERON:0002115","proximal jejunum","Nerve",8,12725,1590.625,347477,0.03662,"Spatial"
"Small Intestine","UBERON:0002115","proximal jejunum","Neuroendocrine",8,1755,219.375,347477,0.00505,"Spatial"
"Small Intestine","UBERON:0002115","proximal jejunum","Neutrophil",8,2992,374,347477,0.00861,"Spatial"
"Small Intestine","UBERON:0002115","proximal jejunum","NK",8,408,51,347477,0.00117,"Spatial"
"Small Intestine","UBERON:0002115","proximal jejunum","Paneth",8,3875,484.375,347477,0.01115,"Spatial"
"Small Intestine","UBERON:0002115","proximal jejunum","Plasma",8,16110,2013.75,347477,0.04636,"Spatial"
"Small Intestine","UBERON:0002115","proximal jejunum","Smooth muscle",8,53301,6662.625,347477,0.15339,"Spatial"
"Small Intestine","UBERON:0002115","proximal jejunum","Stroma",8,26497,3312.125,347477,0.07626,"Spatial"
"Small Intestine","UBERON:0002115","proximal jejunum","TA",8,5778,722.25,347477,0.01663,"Spatial"
"Small Intestine","UBERON:0002116","ileum","B",8,12083,1510.375,366534,0.03297,"Spatial"
"Small Intestine","UBERON:0002116","ileum","CD4+ T cell",8,20255,2531.875,366534,0.05526,"Spatial"
"Small Intestine","UBERON:0002116","ileum","CD57+ Enterocyte",8,72,9,366534,0.0002,"Spatial"
"Small Intestine","UBERON:0002116","ileum","CD66+ Enterocyte",8,3290,411.25,366534,0.00898,"Spatial"
"Small Intestine","UBERON:0002116","ileum","CD7+ Immune",8,767,95.875,366534,0.00209,"Spatial"
"Small Intestine","UBERON:0002116","ileum","CD8+ T",8,34744,4343,366534,0.09479,"Spatial"
"Small Intestine","UBERON:0002116","ileum","Cycling TA",8,7087,885.875,366534,0.01934,"Spatial"
"Small Intestine","UBERON:0002116","ileum","DC",8,5118,639.75,366534,0.01396,"Spatial"
"Small Intestine","UBERON:0002116","ileum","Endothelial",8,27821,3477.625,366534,0.0759,"Spatial"
"Small Intestine","UBERON:0002116","ileum","Enterocyte",8,63597,7949.625,366534,0.17351,"Spatial"
"Small Intestine","UBERON:0002116","ileum","Goblet",8,25768,3221,366534,0.0703,"Spatial"
"Small Intestine","UBERON:0002116","ileum","ICC",8,6640,830,366534,0.01812,"Spatial"
"Small Intestine","UBERON:0002116","ileum","Lymphatic",8,9790,1223.75,366534,0.02671,"Spatial"
"Small Intestine","UBERON:0002116","ileum","M1 Macrophage",8,3564,445.5,366534,0.00972,"Spatial"
"Small Intestine","UBERON:0002116","ileum","M2 Macrophage",8,16937,2117.125,366534,0.04621,"Spatial"
"Small Intestine","UBERON:0002116","ileum","MUC1+ Enterocyte",8,1007,125.875,366534,0.00275,"Spatial"
"Small Intestine","UBERON:0002116","ileum","Nerve",8,10882,1360.25,366534,0.02969,"Spatial"
"Small Intestine","UBERON:0002116","ileum","Neuroendocrine",8,2076,259.5,366534,0.00566,"Spatial"
"Small Intestine","UBERON:0002116","ileum","Neutrophil",8,1879,234.875,366534,0.00513,"Spatial"
"Small Intestine","UBERON:0002116","ileum","NK",8,897,112.125,366534,0.00245,"Spatial"
"Small Intestine","UBERON:0002116","ileum","Paneth",8,6601,825.125,366534,0.01801,"Spatial"
"Small Intestine","UBERON:0002116","ileum","Plasma",8,14957,1869.625,366534,0.04081,"Spatial"
"Small Intestine","UBERON:0002116","ileum","Smooth muscle",8,51055,6381.875,366534,0.13929,"Spatial"
"Small Intestine","UBERON:0002116","ileum","Stroma",8,31665,3958.125,366534,0.08639,"Spatial"
"Small Intestine","UBERON:0002116","ileum","TA",8,7982,997.75,366534,0.02178,"Spatial"
