,count,mean,std,min,5%,25%,50%,75%,95%,max
n_genes_by_counts,18529.0,1278.9913648874738,677.651410445772,301.0,480.0,796.0,1096.0,1609.0,2670.0,4231.0
total_counts,18529.0,895.3876953125,120.03504943847656,286.65679931640625,681.0845825195313,817.8515625,902.489013671875,979.782958984375,1080.252734375,1334.7281494140625
pct_counts_mt,18529.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pct_counts_ribo,18529.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mean_pct_counts_mt,,0.0,,,,,,,,
mean_pct_counts_ribo,,0.0,,,,,,,,
