,count,mean,std,min,5%,25%,50%,75%,95%,max
n_genes_by_counts,5582.0,1117.0813328556073,648.9901732319224,300.0,376.0,617.25,988.0,1434.0,2381.699999999999,4253.0
total_counts,5582.0,832.8538208007812,146.4443359375,287.2343444824219,594.6234558105468,722.9921112060547,835.2041931152344,939.0322570800781,1077.2849853515625,1233.9530029296875
pct_counts_mt,5582.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pct_counts_ribo,5582.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mean_pct_counts_mt,,0.0,,,,,,,,
mean_pct_counts_ribo,,0.0,,,,,,,,
