,count,mean,std,min,5%,25%,50%,75%,95%,max
n_genes_by_counts,5116.0,947.3893666927287,596.5122409829754,299.0,376.0,512.75,696.0,1271.5,2164.75,4353.0
total_counts,5116.0,752.0655517578125,126.67835998535156,288.7342834472656,555.1431121826172,648.1062469482422,754.6319885253906,846.1496276855469,955.9960021972656,1207.5133056640625
pct_counts_mt,5116.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pct_counts_ribo,5116.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mean_pct_counts_mt,,0.0,,,,,,,,
mean_pct_counts_ribo,,0.0,,,,,,,,
