,count,mean,std,min,5%,25%,50%,75%,95%,max
n_genes_by_counts,6438.0,865.9655172413793,471.9609564100178,303.0,426.0,559.25,697.0,1001.0,1911.1499999999996,4013.0
total_counts,6438.0,841.3187255859375,116.85505676269531,466.2995910644531,667.343716430664,759.6295013427734,830.6852722167969,914.6718444824219,1053.6283386230468,1301.7698974609375
pct_counts_mt,6438.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pct_counts_ribo,6438.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mean_pct_counts_mt,,0.0,,,,,,,,
mean_pct_counts_ribo,,0.0,,,,,,,,
