,count,mean,std,min,5%,25%,50%,75%,95%,max
n_genes_by_counts,5578.0,1321.8526353531731,804.0049531267632,326.0,456.0,690.0,1083.0,1755.75,2903.0,5307.0
total_counts,5578.0,899.0240478515625,135.58261108398438,549.8369750976562,686.37744140625,796.6842041015625,900.8682556152344,989.2682342529297,1136.128173828125,1315.63720703125
pct_counts_mt,5578.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pct_counts_ribo,5578.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mean_pct_counts_mt,,0.0,,,,,,,,
mean_pct_counts_ribo,,0.0,,,,,,,,
