,count,mean,std,min,5%,25%,50%,75%,95%,max
n_genes_by_counts,4542.0,1325.012989872303,807.0683313059437,301.0,386.0,596.0,1226.5,1808.75,2883.749999999999,4657.0
total_counts,4542.0,829.9015502929688,149.67233276367188,406.3884582519531,595.6519958496094,711.6097106933594,826.3135681152344,938.11181640625,1085.1416748046875,1205.654296875
pct_counts_mt,4542.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pct_counts_ribo,4542.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mean_pct_counts_mt,,0.0,,,,,,,,
mean_pct_counts_ribo,,0.0,,,,,,,,
