,count,mean,std,min,5%,25%,50%,75%,95%,max
n_genes_by_counts,4259.0,1168.7926743366988,596.8107410023093,309.0,411.0,633.0,1114.0,1573.5,2239.0,4064.0
total_counts,4259.0,770.80908203125,104.35879516601562,497.90509033203125,593.4937622070313,695.044921875,779.3814086914062,843.0543212890625,929.3970336914062,1182.4344482421875
pct_counts_mt,4259.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pct_counts_ribo,4259.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mean_pct_counts_mt,,0.0,,,,,,,,
mean_pct_counts_ribo,,0.0,,,,,,,,
