rui_location,organ,as_label,as_id,intersection_volume
http://purl.org/ccf/1.5/3e6d37df-e4f3-4654-b06d-3a76c2e665ea,VHMLung,Superior lingular bronchopulmonary segment,http://purl.org/sig/ont/fma/fma7374,299217.9
http://purl.org/ccf/1.5/3e6d37df-e4f3-4654-b06d-3a76c2e665ea,VHMLung,Left anterior segmental bronchus,http://purl.org/sig/ont/fma/fma7428,4557.781
http://purl.org/ccf/1.5/527bfb3c-5cea-4131-a73a-72687feb8024,VHMLung,Left Anterior Bronchopulmonary Segment,http://purl.org/sig/ont/fma/fma7373,444225.2
http://purl.org/ccf/1.5/527bfb3c-5cea-4131-a73a-72687feb8024,VHMLung,Left anterior segmental bronchus,http://purl.org/sig/ont/fma/fma7428,4557.781
http://purl.org/ccf/1.5/527bfb3c-5cea-4131-a73a-72687feb8024,VHMLung,Left apical segmental bronchus,http://purl.org/sig/ont/fma/fma7426,1850.033
http://purl.org/ccf/1.5/56b136e7-40dd-477a-b5b6-9be0bb98374c,VHMLung,Left apical bronchopulmonary segment,http://purl.org/sig/ont/fma/fma7385,174591.4
http://purl.org/ccf/1.5/56b136e7-40dd-477a-b5b6-9be0bb98374c,VHMLung,Left apical segmental bronchus,http://purl.org/sig/ont/fma/fma7426,1850.033
http://purl.org/ccf/1.5/594902fb-c4c1-47c3-b98e-3101b93a73e4,VHMLung,Right Medial Bronchopulmonary Segment,http://purl.org/sig/ont/fma/fma7360,229965.0
http://purl.org/ccf/1.5/594902fb-c4c1-47c3-b98e-3101b93a73e4,VHMLung,Right Lateral Bronchopulmonary Segment,http://purl.org/sig/ont/fma/fma7361,162410.7
http://purl.org/ccf/1.5/5b4b476b-01e1-4d13-95e5-d17770f9ffa9,VHMLung,Left Anterior Bronchopulmonary Segment,http://purl.org/sig/ont/fma/fma7373,444225.2
http://purl.org/ccf/1.5/5b4b476b-01e1-4d13-95e5-d17770f9ffa9,VHMLung,Left posterior bronchopulmonary segment,http://purl.org/sig/ont/fma/fma7386,240984.7
http://purl.org/ccf/1.5/5b4b476b-01e1-4d13-95e5-d17770f9ffa9,VHMLung,Left apical segmental bronchus,http://purl.org/sig/ont/fma/fma7426,1850.033
http://purl.org/ccf/1.5/616ef33e-ebcc-4ece-b440-ca218440c8b4,VHMLung,Inferior lingular bronchopulmonary segment,http://purl.org/sig/ont/fma/fma7375,130425.0
http://purl.org/ccf/1.5/74d8c134-9489-4599-afa7-95bd8cf9fc8a,VHMLung,Right Anterior Bronchopulmonary Segment,http://purl.org/sig/ont/fma/fma7359,309071.6
http://purl.org/ccf/1.5/76c77da1-c978-48fe-b30b-aeff33a5d054,VHMLung,Left Anterior Bronchopulmonary Segment,http://purl.org/sig/ont/fma/fma7373,444225.2
http://purl.org/ccf/1.5/76c77da1-c978-48fe-b30b-aeff33a5d054,VHMLung,Superior lingular bronchopulmonary segment,http://purl.org/sig/ont/fma/fma7374,299217.9
http://purl.org/ccf/1.5/76c77da1-c978-48fe-b30b-aeff33a5d054,VHMLung,Left anterior segmental bronchus,http://purl.org/sig/ont/fma/fma7428,4557.781
http://purl.org/ccf/1.5/76c77da1-c978-48fe-b30b-aeff33a5d054,VHMLung,Left apical segmental bronchus,http://purl.org/sig/ont/fma/fma7426,1850.033
http://purl.org/ccf/1.5/76c77da1-c978-48fe-b30b-aeff33a5d054,VHMLung,left lung hilus,http://purl.obolibrary.org/obo/UBERON_0004887,-14467.8
http://purl.org/ccf/1.5/76c77da1-c978-48fe-b30b-aeff33a5d054,VHMLung,left lung hilus,http://purl.obolibrary.org/obo/UBERON_0004887,-31882.55
http://purl.org/ccf/1.5/840b29a9-5a04-41cc-908d-0c4fa5720366,VHMLung,Left posterior bronchopulmonary segment,http://purl.org/sig/ont/fma/fma7386,240984.7
http://purl.org/ccf/1.5/840b29a9-5a04-41cc-908d-0c4fa5720366,VHMLung,Left apical bronchopulmonary segment,http://purl.org/sig/ont/fma/fma7385,174591.4
http://purl.org/ccf/1.5/853a9e2c-10ba-4491-9d9d-3551c0c5f26d,VHMLung,Left Anterior Bronchopulmonary Segment,http://purl.org/sig/ont/fma/fma7373,444225.2
http://purl.org/ccf/1.5/853a9e2c-10ba-4491-9d9d-3551c0c5f26d,VHMLung,Superior lingular bronchopulmonary segment,http://purl.org/sig/ont/fma/fma7374,299217.9
http://purl.org/ccf/1.5/8c2283cd-667a-4fa1-9026-50e30bcfdcd1,VHMLung,Superior lingular bronchopulmonary segment,http://purl.org/sig/ont/fma/fma7374,299217.9
http://purl.org/ccf/1.5/8c2283cd-667a-4fa1-9026-50e30bcfdcd1,VHMLung,Inferior lingular bronchopulmonary segment,http://purl.org/sig/ont/fma/fma7375,130425.0
http://purl.org/ccf/1.5/8c2283cd-667a-4fa1-9026-50e30bcfdcd1,VHMLung,Superior lingular bronchus,http://purl.org/sig/ont/fma/fma7430,254.0222
http://purl.org/ccf/1.5/8d3e8fa1-185d-479b-83d9-9dfe2ead2d3e,VHMLung,Right Medial Bronchopulmonary Segment,http://purl.org/sig/ont/fma/fma7360,229965.0
http://purl.org/ccf/1.5/95190b47-b491-448a-8e9b-06d804bf2aa1,VHMLung,Right Medial Bronchopulmonary Segment,http://purl.org/sig/ont/fma/fma7360,229965.0
http://purl.org/ccf/1.5/95881dfc-b806-40ca-85fd-0e02d647c999,VHMLung,Right Posterior Bronchopulmonary Segment,http://purl.org/sig/ont/fma/fma7339,353229.4
http://purl.org/ccf/1.5/95881dfc-b806-40ca-85fd-0e02d647c999,VHMLung,Right Anterior Bronchopulmonary Segment,http://purl.org/sig/ont/fma/fma7359,309071.6
http://purl.org/ccf/1.5/95881dfc-b806-40ca-85fd-0e02d647c999,VHMLung,Right superior segmental bronchus,http://purl.org/sig/ont/fma/fma7416,1456.964
http://purl.org/ccf/1.5/ab2e49b2-1959-44af-8e83-ac16878f6c12,VHMLung,Left apical bronchopulmonary segment,http://purl.org/sig/ont/fma/fma7385,174591.4
http://purl.org/ccf/1.5/aba1ebe3-af18-40cc-b536-b89843049ca5,VHMLung,Right Lateral Bronchopulmonary Segment,http://purl.org/sig/ont/fma/fma7361,162410.7
