,count,mean,std,min,5%,25%,50%,75%,95%,max
n_genes_by_counts,2487.0,1457.6465621230398,856.8532812486202,305.0,498.3,845.5,1171.0,1895.5,3262.3999999999996,5503.0
total_counts,2487.0,937.0783081054688,132.04385375976562,458.85284423828125,713.38525390625,854.9533386230469,931.2786254882812,1024.235107421875,1159.9303588867188,1344.0899658203125
pct_counts_mt,2487.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pct_counts_ribo,2487.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mean_pct_counts_mt,,0.0,,,,,,,,
mean_pct_counts_ribo,,0.0,,,,,,,,
