,count,mean,std,min,5%,25%,50%,75%,95%,max
n_genes_by_counts,277.0,595.5559566787003,567.4605533844273,20.0,50.400000000000006,202.0,427.0,729.0,1857.6,3508.0
total_counts,277.0,2734.539794921875,2444.7265625,347.08331298828125,723.3466064453125,1165.666748046875,1833.6644287109375,3599.756103515625,7319.493457031249,16582.6640625
pct_counts_mt,277.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pct_counts_ribo,277.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mean_pct_counts_mt,,0.0,,,,,,,,
mean_pct_counts_ribo,,0.0,,,,,,,,
