,count,mean,std,min,5%,25%,50%,75%,95%,max
n_genes_by_counts,8501.0,913.3548994235972,482.23278321579477,328.0,458.0,628.0,767.0,984.0,2039.0,5531.0
total_counts,8501.0,806.0552978515625,105.46098327636719,398.019287109375,640.22265625,735.5255737304688,799.474609375,872.7256469726562,991.7034912109375,1451.9876708984375
pct_counts_mt,8501.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pct_counts_ribo,8501.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mean_pct_counts_mt,,0.0,,,,,,,,
mean_pct_counts_ribo,,0.0,,,,,,,,
