,count,mean,std,min,5%,25%,50%,75%,95%,max
n_genes_by_counts,5031.0,1127.8477439872788,707.7579638984002,309.0,405.5,555.0,859.0,1615.0,2486.0,4207.0
total_counts,5031.0,782.1067504882812,122.07939147949219,311.39129638671875,593.6968688964844,687.4583435058594,780.5750122070312,869.9394836425781,981.9916687011719,1211.5504150390625
pct_counts_mt,5031.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pct_counts_ribo,5031.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mean_pct_counts_mt,,0.0,,,,,,,,
mean_pct_counts_ribo,,0.0,,,,,,,,
