,count,mean,std,min,5%,25%,50%,75%,95%,max
n_genes_by_counts,4102.0,1957.0550950755728,980.387704729418,303.0,620.05,1162.0,1815.0,2648.75,3782.0,5467.0
total_counts,4102.0,1002.9384155273438,138.02218627929688,515.8693237304688,769.2857055664062,922.0294036865234,1006.7352600097656,1079.3807067871094,1256.5534973144531,1432.004150390625
pct_counts_mt,4102.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pct_counts_ribo,4102.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mean_pct_counts_mt,,0.0,,,,,,,,
mean_pct_counts_ribo,,0.0,,,,,,,,
