,count,mean,std,min,5%,25%,50%,75%,95%,max
n_genes_by_counts,6164.0,1122.4459766385464,572.6059840892351,0.0,264.0,642.0,1161.5,1521.0,2030.699999999999,4061.0
total_counts,6164.0,2606.314453125,1752.3753662109375,0.0,480.32177276611327,1122.27490234375,2451.6973876953125,3629.0433349609375,5661.761401367179,14173.3408203125
pct_counts_mt,6163.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pct_counts_ribo,6163.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mean_pct_counts_mt,,0.0,,,,,,,,
mean_pct_counts_ribo,,0.0,,,,,,,,
